HomeTeam,AwayTeam,Week,Line,Spread
Catawba,Limestone,5,Catawba -6.5,6.5
Akron,Massachusetts,11,Akron -11.5,11.5
Ohio,Miami (OH),11,Ohio -5.0,5.0
Toledo,Northern Illinois,11,Toledo -11.5,11.5
Ball State,Kent State,11,Kent State -3.0,-3.0
App State,Georgia Southern,11,App State -1.0,1.0
South Florida,UTSA,11,South Florida -12.0,12.0
Morgan State,Delaware State,11,Delaware State -9.5,-9.5
Columbia,Harvard,11,Harvard -35.5,-35.5
UCF,Houston,11,Houston -10.5,-10.5
USC,Northwestern,11,USC -14.5,14.5
Memphis,Tulane,11,Memphis -3.5,3.5
Wisconsin,Washington,11,Washington -21.5,-21.5
UCLA,Nebraska,11,Nebraska -5.0,-5.0
Iowa,Oregon,11,Oregon -10.0,-10.0
Penn State,Indiana,11,Indiana -21.5,-21.5
Amherst,Williams,11,Amherst -1.0,1.0
West Virginia,Colorado,11,Colorado -6.0,-6.0
Boston College,SMU,11,SMU -21.5,-21.5
Bentley,Assumption,11,Assumption -13.5,-13.5
Bates,Hamilton,11,Bates -4.5,4.5
Wesleyan University (CT),Trinity (CT),11,Trinity (CT) -8.5,-8.5
Gannon,PennWest California,11,PennWest California -17.5,-17.5
Clarion,Indiana-Pennsylvania,11,Indiana-Pennsylvania -15.0,-15.0
Central Connecticut,Stonehill,11,Central Connecticut -5.5,5.5
Edinboro University,Slippery Rock,11,Slippery Rock -11.5,-11.5
Cortland,Brockport,11,Cortland -12.5,12.5
Carnegie Mellon,Franklin & Marshall,11,Carnegie Mellon -12.5,12.5
Johns Hopkins University,McDaniel College,11,Johns Hopkins University -49.0,49.0
Juniata College,Moravian,11,Moravian -9.5,-9.5
Susquehanna,Wilkes,11,Susquehanna -21.0,21.0
University of Rochester (NY),Union (NY),11,Union (NY) -6.0,-6.0
Western Connecticut St,Catholic,11,Western Connecticut St -13.5,13.5
Walsh,Hillsdale,11,Walsh -1.5,1.5
Norwich,Salve Regina,11,Salve Regina -33.5,-33.5
Chattanooga,Furman,11,Chattanooga -1.5,1.5
Nichols College,Husson,11,Husson -9.0,-9.0
North Carolina Wesleyan,Greensboro College,11,North Carolina Wesleyan -9.5,9.5
Olivet College,Albion,11,Albion -14.0,-14.0
Maine Maritime,Western New England,11,Western New England -40.5,-40.5
Curry College,Biddeford,11,Biddeford -9.0,-9.0
Plymouth State,Fitchburg State,11,Plymouth State -12.0,12.0
Oberlin,Wabash College,11,Wabash College -62.0,-62.0
New England College,Endicott College,11,Endicott College -62.5,-62.5
Albright,Stevenson,11,Stevenson -9.5,-9.5
Eastern University,FDU-Florham,11,Eastern University -30.5,30.5
Merchant Marine Academy,Worcester Polytechnic Institute,11,Merchant Marine Academy -20.0,20.0
Springfield,Coast Guard,11,Springfield -9.0,9.0
UMass Dartmouth,Westfield State,11,UMass Dartmouth -9.5,9.5
Mass Maritime,Worcester St,11,Mass Maritime -9.5,9.5
Framingham State,Dean College,11,Framingham State -33.5,33.5
Mississippi State,Georgia,11,Georgia -12.0,-12.0
Hilbert College,Hobart College,11,Hobart College -38.0,-38.0
Davenport,Northern Michigan,11,Davenport -13.0,13.0
Brown,Yale,11,Yale -12.5,-12.5
Lake Erie,Kentucky Wesleyan,11,Lake Erie -6.0,6.0
Thomas More College,Ohio Dominican,11,Ohio Dominican -11.5,-11.5
Northwood (MI),Tiffin,11,Northwood (MI) -2.0,2.0
Long Island University,Duquesne,11,Duquesne -5.5,-5.5
Texas Tech,BYU,11,Texas Tech -1.5,1.5
Robert Morris,Wagner,11,Wagner -1.5,-1.5
St. Francis (PA),Mercyhurst,11,Mercyhurst -16.0,-16.0
Arkansas State,Southern Miss,11,Southern Miss -8.0,-8.0
Monmouth,New Hampshire,11,Monmouth -9.5,9.5
Stony Brook,North Carolina A&T,11,Stony Brook -20.5,20.5
Sacred Heart,Virginia University Of Lynchburg,11,Sacred Heart -41.0,41.0
Lehigh,Holy Cross,11,Lehigh -23.0,23.0
Marshall,James Madison,11,James Madison -13.5,-13.5
Army,Temple,11,Army -4.5,4.5
Lafayette,Colgate,11,Lafayette -1.0,1.0
Middlebury,Tufts,11,Middlebury -5.5,5.5
Minnesota Duluth,Bemidji State,11,Minnesota Duluth -26.0,26.0
Franklin Pierce,Southern Connecticut State,11,Franklin Pierce -10.5,10.5
Lock Haven University,Shepherd,11,Lock Haven University -1.5,1.5
Lincoln (MO),Missouri S&T,11,Missouri S&T -11.0,-11.0
Northeastern State,McKendree,11,Northeastern State -15.5,15.5
Saginaw Valley State,Ferris State,11,Ferris State -29.0,-29.0
Shippensburg,West Chester,11,West Chester -10.0,-10.0
Case Western Reserve,Grove City College,11,Case Western Reserve -1.0,1.0
University Of Charleston (WV),West Liberty,11,University Of Charleston (WV) -16.5,16.5
Newberry,Carson-Newman College,11,Carson-Newman College -9.5,-9.5
Drake,St. Thomas (MN),11,St. Thomas (MN) -3.5,-3.5
Frostburg State,West Virginia State,11,Frostburg State -7.5,7.5
Marist,Stetson,11,Marist -14.0,14.0
Liberty,Missouri State,11,Missouri State -1.0,-1.0
SUNY Morrisville,St John Fisher University,11,St John Fisher University -23.0,-23.0
SUNY Maritime,MIT,11,SUNY Maritime -1.0,1.0
American International,Pace,11,American International -6.0,6.0
Buffalo State,St. Lawrence,11,St. Lawrence -4.0,-4.0
Purdue,Ohio State,11,Ohio State -28.0,-28.0
Rensselaer,Ithaca College,11,Rensselaer -6.0,6.0
Utica,Hartwick,11,Utica -37.0,37.0
Knox College,Lake Forest College,11,Lake Forest College -35.0,-35.0
Dartmouth,Princeton,11,Dartmouth -6.0,6.0
Lincoln (PA),Bowie State,11,Bowie State -16.0,-16.0
Virginia Union,Virginia St,11,Virginia Union -17.5,17.5
Pennsylvania,Cornell,11,Pennsylvania -9.5,9.5
Fayetteville State,Winston-Salem,11,Fayetteville State -15.5,15.5
Johnson C Smith,Livingstone,11,Johnson C Smith -23.5,23.5
Mars Hill,UVA Wise,11,Mars Hill -7.5,7.5
Emory & Henry College,Shaw,11,Emory & Henry College -41.0,41.0
Concord University,Fairmont State,11,Fairmont State -2.5,-2.5
Chowan,Ferrum,11,Chowan -0.5,0.5
Luther,Dubuque,11,Dubuque -30.5,-30.5
Glenville State,Wheeling,11,Glenville State -4.5,4.5
Ashland,Findlay,11,Ashland -5.5,5.5
Minnesota State Moorhead,Jamestown College,11,Minnesota State Moorhead -26.0,26.0
Alfred State,Alfred University,11,Alfred University -1.5,-1.5
Ole Miss,The Citadel,11,Ole Miss -38.0,38.0
Geneva,Washington & Jefferson,11,Washington & Jefferson -24.5,-24.5
Eastern Michigan,Bowling Green,11,Bowling Green -6.5,-6.5
Georgetown,Richmond,11,Richmond -2.0,-2.0
Fordham,Bucknell,11,Bucknell -3.0,-3.0
Valparaiso,San Diego,11,San Diego -23.5,-23.5
Morehead State,Butler,11,Butler -10.0,-10.0
Indiana State,Illinois State,11,Illinois State -3.0,-3.0
