"Id","Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayClassification","AwayPoints"
"401756846","2025","1","regular","2025-08-23T16:00:00.000Z","true","Kansas State","21","Iowa State","fbs","24"
"401767476","2025","1","regular","2025-08-23T17:00:00.000Z","true","Nicholls","20","Incarnate Word","fcs","6"
"401760371","2025","1","regular","2025-08-23T20:00:00.000Z","true","UNLV","38","Idaho State","fcs","31"
"401767126","2025","1","regular","2025-08-23T20:30:00.000Z","true","Portland State","0","Tarleton State","fcs","42"
"401756847","2025","1","regular","2025-08-23T22:30:00.000Z","true","Kansas","31","Fresno State","fbs","7"
"401757218","2025","1","regular","2025-08-23T23:00:00.000Z","true","Western Kentucky","41","Sam Houston","fbs","24"
"401767410","2025","1","regular","2025-08-23T23:30:00.000Z","true","Southern","14","North Carolina Central","fcs","31"
"401754516","2025","1","regular","2025-08-23T23:30:00.000Z","true","Hawai'i","23","Stanford","fbs","20"
"401773590","2025","1","regular","2025-08-28T19:00:00.000Z","true","Central Washington","41","Colorado Mesa","ii","14"
"401762522","2025","1","regular","2025-08-28T21:30:00.000Z","true","South Florida","34","Boise State","fbs","7"
"401762790","2025","1","regular","2025-08-28T22:00:00.000Z","true","Bowling Green","26","Lafayette","fcs","7"
"401773703","2025","1","regular","2025-08-28T22:00:00.000Z","true","Clarion","34","Wheeling","ii","0"
"401767549","2025","1","regular","2025-08-28T22:00:00.000Z","true","Youngstown State","24","Mercyhurst","fcs","15"
"401773470","2025","1","regular","2025-08-28T22:00:00.000Z","true","Michigan Tech","37","Bemidji State","ii","17"
"401752794","2025","1","regular","2025-08-28T22:00:00.000Z","true","Rutgers","34","Ohio","fbs","31"
"401773397","2025","1","regular","2025-08-28T22:00:00.000Z","true","Marian College","21","Indianapolis","ii","45"
"401773488","2025","1","regular","2025-08-28T22:00:00.000Z","true","Saginaw Valley State","21","Northeastern State","ii","28"
"401773633","2025","1","regular","2025-08-28T23:00:00.000Z","true","Wayne State (NE)","21","Nebraska-Kearney","ii","28"
"401773093","2025","1","regular","2025-08-28T23:00:00.000Z","true","University Of Charleston (WV)","39","Livingstone","ii","10"
"401757219","2025","1","regular","2025-08-28T23:00:00.000Z","true","Delaware","35","Delaware State","fcs","17"
"401773065","2025","1","regular","2025-08-28T23:00:00.000Z","true","Wilson","7","Virginia St","ii","35"
"401773691","2025","1","regular","2025-08-28T23:00:00.000Z","true","Walsh","38","West Liberty","ii","10"
"401773667","2025","1","regular","2025-08-28T23:00:00.000Z","true","Seton Hill","21","Fairmont State","ii","24"
"401773639","2025","1","regular","2025-08-28T23:00:00.000Z","true","Minnesota State Mankato","38","Northwest Missouri St","ii","14"
"401773643","2025","1","regular","2025-08-28T23:00:00.000Z","true","Ferris State","34","Pittsburg St","ii","17"
"401773514","2025","1","regular","2025-08-28T23:00:00.000Z","true","Delta State","31","Central Missouri","ii","23"
"401762789","2025","1","regular","2025-08-28T23:00:00.000Z","true","Akron","0","Wyoming","fbs","10"
"401756848","2025","1","regular","2025-08-28T23:00:00.000Z","true","UCF","17","Jacksonville State","fbs","10"
"401767327","2025","1","regular","2025-08-28T23:00:00.000Z","true","Norfolk State","7","Towson","fcs","27"
"401767446","2025","1","regular","2025-08-28T23:00:00.000Z","true","Indiana State","41","McKendree","ii","24"
"401767171","2025","1","regular","2025-08-28T23:00:00.000Z","true","Eastern Illinois","24","Dayton","fcs","14"
"401773478","2025","1","regular","2025-08-28T23:00:00.000Z","true","Northern Michigan","37","Minnesota State Moorhead","ii","44"
