"Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"2025","1","regular","2025-08-23T16:00:00.000Z","true","Kansas State","21","Iowa State","24"
"2025","1","regular","2025-08-23T17:00:00.000Z","true","Nicholls","20","Incarnate Word","6"
"2025","1","regular","2025-08-23T20:00:00.000Z","true","UNLV","38","Idaho State","31"
"2025","1","regular","2025-08-23T20:30:00.000Z","true","Portland State","0","Tarleton State","42"
"2025","1","regular","2025-08-23T22:30:00.000Z","true","Kansas","31","Fresno State","7"
"2025","1","regular","2025-08-23T23:00:00.000Z","true","Western Kentucky","41","Sam Houston","24"
"2025","1","regular","2025-08-23T23:30:00.000Z","true","Southern","14","North Carolina Central","31"
"2025","1","regular","2025-08-23T23:30:00.000Z","true","Hawai'i","23","Stanford","20"
"2025","1","regular","2025-08-28T19:00:00.000Z","true","Central Washington","41","Colorado Mesa","14"
"2025","1","regular","2025-08-28T21:30:00.000Z","true","South Florida","34","Boise State","7"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Michigan Tech","37","Bemidji State","17"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Saginaw Valley State","21","Northeastern State","28"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Youngstown State","24","Mercyhurst","15"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Marian College","21","Indianapolis","45"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Bowling Green","26","Lafayette","7"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Clarion","34","Wheeling","0"
"2025","1","regular","2025-08-28T22:00:00.000Z","true","Rutgers","34","Ohio","31"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Delta State","31","Central Missouri","23"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Northern Michigan","37","Minnesota State Moorhead","44"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Indiana State","41","McKendree","24"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Minnesota State Mankato","38","Northwest Missouri St","14"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Delaware","35","Delaware State","17"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Akron","0","Wyoming","10"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","UL Monroe","29","St. Francis (PA)","0"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Wilson","7","Virginia St","35"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Ferris State","34","Pittsburg St","17"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Walsh","38","West Liberty","10"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","NC State","24","East Carolina","17"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Wayne State (NE)","21","Nebraska-Kearney","28"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","St. Thomas (MN)","35","Lindenwood","13"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","University Of Charleston (WV)","39","Livingstone","10"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","UCF","17","Jacksonville State","10"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Norfolk State","7","Towson","27"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Eastern Illinois","24","Dayton","14"
"2025","1","regular","2025-08-28T23:00:00.000Z","true","Seton Hill","21","Fairmont State","24"
"2025","1","regular","2025-08-28T23:05:00.000Z","true","East Stroudsburg University","14","Edinboro University","29"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Missouri","61","Central Arkansas","6"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Houston Christian","69","Little Rock","0"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Samford","3","West Georgia","34"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Oklahoma State","27","UT Martin","7"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","University of Mary","28","Midland Lutheran College","22"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Duke","45","Elon","17"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Drake","41","Upper Iowa University","7"
"2025","1","regular","2025-08-28T23:30:00.000Z","true","Quincy","38","Concordia University St Paul","7"
"2025","1","regular","2025-08-29T00:00:00.000Z","true","Western Colorado","45","West Texas A&M","28"
