,Team,MasseyRating
447,Ohio State,23.570420346473178
456,Oregon,22.373877142928208
442,Notre Dame,22.281865069419524
572,Texas,21.488106816743688
463,Penn State,21.237249193209404
264,Indiana,20.37053821009478
217,Georgia,20.324317206759897
5,Alabama,19.698020206088188
44,BYU,19.467917549104023
454,Ole Miss,19.39812902552075
26,Arizona State,19.18473402257539
270,Iowa State,19.013741919112334
569,Tennessee,18.934643121990046
497,SMU,18.928469288310698
525,South Carolina,18.912594165077124
361,Michigan,18.689088387943258
359,Miami,18.627771229632067
297,LSU,18.514985110799493
128,Colorado,18.45253791765231
259,Illinois,18.393608980632422
329,Louisville,18.238190673252813
282,Kansas State,18.120661693427877
120,Clemson,18.058434646937545
65,Boise State,18.009181923182492
269,Iowa,17.975527431917552
371,Minnesota,17.927729424623905
604,USC,17.923487707716525
194,Florida,17.68398108702298
381,Missouri,17.681695205002725
573,Texas A&M,17.528612367162168
48,Baylor,17.316673640768876
565,Syracuse,17.30672998784261
566,TCU,16.67117017407774
32,Army,16.491749517572543
603,UNLV,16.420954628719265
403,Nebraska,16.387678333450893
424,North Dakota State,16.240601744184648
578,Texas Tech,16.181224088585466
341,Marshall,16.135413070237007
402,Navy,16.109670208761557
281,Kansas,16.0975429767036
630,Virginia Tech,16.060846195055337
626,Vanderbilt,15.880517711739659
591,Tulane,15.879170451106866
449,Oklahoma,15.851654063060684
353,Memphis,15.733521760745454
640,Washington,15.722450364781203
161,Duke,15.584363968824585
689,Wisconsin,15.411851312367183
495,Rutgers,15.351187836321571
220,Georgia Tech,15.340355414170226
598,UCLA,15.250934600367792
66,Boston College,15.248257499276692
27,Arkansas,15.175756770523689
529,South Dakota State,15.032774780957862
444,Ohio,14.972860278417478
116,Cincinnati,14.88239784821275
389,Montana State,14.811779743923722
618,Utah,14.643784067670595
468,Pittsburgh,14.629472600111416
658,West Virginia,14.420284783797609
597,UCF,14.271693669577814
274,James Madison,14.196394842004871
35,Auburn,14.155415226105784
326,Louisiana,14.076036764071667
360,Miami (OH),14.014109058839985
577,Texas State,13.981037727501626
218,Georgia Southern,13.886073847527626
288,Kentucky,13.838551376112726
344,Maryland,13.81236974807469
84,California,13.750684350846328
362,Michigan State,13.740287081714493
642,Washington State,13.699841589331248
599,UConn,13.608920192773509
628,Virginia,13.498747125380435
431,Northern Illinois,13.26004667028553
418,North Carolina,13.231541248200607
251,Houston,13.159201763155862
527,South Dakota,13.096391702356314
400,NC State,13.077213792595053
507,Sam Houston,13.011746332144586
436,Northwestern,12.977700165858622
583,Toledo,12.815149137559487
453,Old Dominion,12.734168665839137
273,Jacksonville State,12.705275529423016
78,Buffalo,12.66808523286447
524,South Alabama,12.497105347972989
452,Oklahoma State,12.481943912402958
25,Arizona,12.42820335501252
69,Bowling Green,12.358402521769808
164,East Carolina,12.212569201789133
131,Colorado State,12.125369499313827
608,UTSA,11.99615071602939
28,Arkansas State,11.923162605141256
379,Mississippi State,11.877739478163688
665,Western Kentucky,11.79162621265332
530,South Florida,11.741402898875027
23,App State,11.73620428770781
596,UC Davis,11.696502807446475
257,Idaho,11.669139669199668
511,San José State,11.64660741797028
208,Fresno State,11.371180980971591
557,Stanford,11.334947176756572
635,Wake Forest,11.318815377709235
427,North Texas,11.30792288073994
122,Coastal Carolina,11.185166604831611
457,Oregon State,11.095729944105276
