,Team,MasseyRating,Rank
259,Indiana,73.40592664497298,1
437,Ohio State,72.13577323330935,2
432,Notre Dame,70.53070968871339,3
446,Oregon,70.36084703318446,4
569,Texas Tech,69.56925374012063,5
350,Miami,66.46914809382677,6
611,Utah,66.46300967085801,7
212,Georgia,64.34845544562508,8
619,Vanderbilt,62.604512096837574,9
439,Oklahoma,62.60270487794513,10
44,BYU,62.58193824279972,11
564,Texas A&M,62.27759606090156,12
596,USC,61.35789363382112,13
5,Alabama,61.2258636908428,14
444,Ole Miss,61.15584400601039,15
633,Washington,59.8711668942809,16
25,Arizona,58.95458703176186,17
522,South Florida,58.76517472125356,18
263,Iowa,58.329209930388274,19
417,North Texas,58.14283536848609,20
268,James Madison,58.019528182526294,21
563,Texas,57.05851902940006,22
352,Michigan,57.05106493984097,23
453,Penn State,56.98524087375659,24
488,SMU,56.11389635791537,25
560,Tennessee,56.09669573796679,26
414,North Dakota State,55.59757863966734,27
621,Virginia,55.40035970558718,28
372,Missouri,55.211902545951936,29
254,Illinois,55.00981967240308,30
319,Louisville,54.91202375727846,31
557,TCU,54.437767965564106,32
264,Iowa State,54.302561684047014,33
289,LSU,53.42369476430296,34
459,Pittsburgh,52.9403183492571,35
35,Auburn,52.805797487515235,36
26,Arizona State,52.53958005149191,37
276,Kansas State,52.224610813465134,38
246,Houston,52.1086027808176,39
120,Clemson,51.68718030062003,40
215,Georgia Tech,51.46816634155353,41
161,East Carolina,50.848766641453125,42
380,Montana State,50.59293235826905,43
158,Duke,50.01056377370737,44
195,Florida State,49.913296809765676,45
443,Old Dominion,49.66555579063564,46
583,Tulane,49.53477296807567,47
390,NC State,49.48177931580397,48
517,South Carolina,49.38624846151924,49
344,Memphis,49.11892133927957,50
65,Boise State,48.969646334987885,51
116,Cincinnati,48.68543844544517,52
628,Wake Forest,48.652099185101804,53
635,Washington State,48.40305171045983,54
502,San Diego State,47.82023750686041,55
190,Florida,47.80459971559132,56
280,Kentucky,47.40952429823547,57
575,Toledo,46.982384759066065,58
595,UNLV,46.683210313674294,59
275,Kansas,46.61471080276016,60
426,Northwestern,46.4567775838883,61
379,Montana,46.07087389186529,62
370,Mississippi State,45.90193009821879,63
558,Tarleton State,45.89432215219479,64
392,Navy,45.75085802594323,65
400,New Mexico,45.29951505890334,66
48,Baylor,45.05261197220524,67
393,Nebraska,44.85656685281678,68
601,UTSA,44.80808805869097,69
27,Arkansas,44.549922607638884,70
681,Wisconsin,44.42510775633736,71
363,Minnesota,43.01095086606021,72
413,North Dakota,42.90776314703959,73
