rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
1,1,Notre Dame,fbs,FBS Independents,86.046196,3,0,0,58.963345
2,2,Texas,fbs,SEC,81.55788,3,0,0,61.141955
3,3,Alabama,fbs,SEC,79.990029,3,0,0,53.907248
4,4,Florida,fbs,SEC,72.852034,3,0,0,49.618929
5,5,UCLA,fbs,Big Ten,71.213289,3,0,0,50.797555
6,6,Mississippi State,fbs,SEC,70.80772,3,0,0,48.058475
7,7,Penn State,fbs,Big Ten,70.781135,3,0,0,43.364877
8,8,Ohio State,fbs,Big Ten,70.575103,2,1,0,51.324988
9,9,Michigan,fbs,Big Ten,70.122472,3,0,0,55.372835
10,10,Pittsburgh,fbs,ACC,69.386772,3,0,0,50.970576
11,11,Northwestern,fbs,Big Ten,68.337522,2,0,0,43.024987
12,12,Duke,fbs,ACC,68.145359,3,0,0,50.06258
13,13,Nebraska,fbs,Big Ten,66.540399,3,0,0,36.247583
14,14,Ole Miss,fbs,SEC,64.620281,3,0,0,48.87032
15,15,Western Michigan,fbs,Mid-American,64.495059,2,1,0,52.109648
16,16,Michigan State,fbs,Big Ten,64.472129,2,1,0,56.376614
17,17,Oklahoma,fbs,SEC,64.379072,2,1,0,53.795759
18,18,Miami,fbs,ACC,64.284722,3,0,0,37.949398
19,19,Kentucky,fbs,SEC,64.121703,2,1,0,60.010013
20,20,LSU,fbs,SEC,64.090131,2,1,0,47.173748
21,21,Texas A&M,fbs,SEC,63.773927,2,1,0,47.523901
22,22,Tennessee,fbs,SEC,63.390791,3,0,0,34.873356
23,23,Vanderbilt,fbs,SEC,62.494371,3,0,0,49.364366
24,24,Illinois,fbs,Big Ten,62.445189,2,1,0,47.281298
25,25,Kansas State,fbs,Big 12,61.83233,3,0,0,36.836004
26,26,Indiana,fbs,Big Ten,61.567243,3,0,0,30.816901
27,27,USC,fbs,Big Ten,61.530918,4,0,0,41.042195
28,28,BYU,fbs,Big 12,61.479531,3,0,0,39.028573
29,29,West Virginia,fbs,Big 12,61.365987,3,0,0,42.640353
30,30,Virginia,fbs,ACC,60.67511,2,1,0,45.208782
31,31,Iowa,fbs,Big Ten,60.379195,3,0,0,37.962559
32,32,Auburn,fbs,SEC,60.30045,2,1,0,51.383962
33,33,Louisville,fbs,ACC,60.14288,2,1,0,47.092976
34,34,Utah,fbs,Big 12,60.13342,3,0,0,28.969537
35,35,South Florida,fbs,American Athletic,59.77865,3,0,0,42.165703
36,36,Army,fbs,American Athletic,59.724828,1,1,0,48.395654
37,37,UCF,fbs,Big 12,59.613029,2,1,0,46.363575
38,38,UTSA,fbs,American Athletic,59.124608,2,1,0,55.317598
39,39,Iowa State,fbs,Big 12,58.893889,2,1,0,40.377455
40,40,James Madison,fbs,Sun Belt,58.569617,3,0,0,39.465951
41,41,South Carolina,fbs,SEC,58.029876,2,1,0,40.080104
42,42,Texas Tech,fbs,Big 12,57.462973,3,0,0,42.362644
43,43,Virginia Tech,fbs,ACC,57.4121,3,0,0,33.826211
44,44,Tulsa,fbs,American Athletic,57.372205,3,0,0,38.218468
45,45,Arizona,fbs,Big 12,57.195083,2,1,0,42.574954
46,46,Wisconsin,fbs,Big Ten,57.09746,2,1,0,47.281245
47,47,SMU,fbs,ACC,57.066281,2,1,0,49.509533
48,48,Houston,fbs,Big 12,56.446407,2,1,0,42.427226
49,49,Wake Forest,fbs,ACC,56.263381,2,1,0,51.680241
50,50,Georgia,fbs,SEC,55.517421,3,0,0,24.580752
51,51,Rice,fbs,American Athletic,55.320444,1,2,0,58.604605
52,52,Minnesota,fbs,Big Ten,54.882838,2,1,0,43.573487
53,53,Cincinnati,fbs,Big 12,54.810687,3,0,0,35.266945
54,54,Florida State,fbs,ACC,54.510592,1,2,0,55.427347
55,55,Baylor,fbs,Big 12,54.410013,2,1,0,38.919319
56,56,New Mexico,fbs,Mountain West,54.020429,2,1,0,36.540138
57,57,Texas State,fbs,Pac-12,53.726155,1,2,0,60.976498
58,58,Purdue,fbs,Big Ten,53.723037,1,2,0,51.721773
