Team,MasseyRating
Ohio State,70.91807553101813
Indiana,68.70123107820172
Notre Dame,68.47260313457349
Oregon,67.29257477759441
Texas Tech,66.68678776022332
Miami,65.02103211470086
Utah,64.37510324942625
Georgia,63.4512416232872
Vanderbilt,61.70962301421888
Texas A&M,61.447832993316695
BYU,61.379472304539476
Oklahoma,60.68450890818734
Ole Miss,60.34486170566436
Alabama,60.309857851613856
USC,60.19716426446256
Washington,58.0322878666402
South Florida,57.59363578728687
Arizona,57.12171157975763
Iowa,56.36001271265786
North Texas,56.25879174191145
Texas,56.20444530619818
Michigan,56.13869573772984
Penn State,55.3964259368951
Tennessee,55.21914283931926
James Madison,54.99016241683058
SMU,54.61133898561642
Missouri,54.509340739162965
Virginia,54.39672610728401
Illinois,53.974923167959574
Louisville,53.61563603908694
Iowa State,52.93514990149821
TCU,52.86947726820575
LSU,52.466820277030436
Pittsburgh,52.15343497534715
Auburn,51.840381289147146
Arizona State,51.28862555493636
Houston,50.77628902688477
Kansas State,50.708882374085775
North Dakota State,50.53883981829364
Georgia Tech,50.49540939820726
Clemson,50.415562446299994
Florida State,48.756701260672536
South Carolina,48.50706768616759
Tulane,48.40533467809966
Duke,48.39775801899419
NC State,48.12157679023736
Memphis,48.03930376817805
East Carolina,48.01776602583122
Boise State,47.80986277850509
Old Dominion,47.59851476778306
Washington State,47.54979123285153
Wake Forest,47.35655011750755
Montana State,47.339465821952246
Cincinnati,47.23291350507395
Florida,46.78745980266062
Kentucky,46.47920847893016
San Diego State,46.18333996742826
Toledo,45.79945459269794
Northwestern,45.467342787098865
UNLV,45.44253650619547
Kansas,45.3395312839829
Arkansas,45.10868400243013
Mississippi State,45.04707874985796
Navy,44.84550431645005
New Mexico,44.246182072842835
Wisconsin,44.14352053195095
Nebraska,43.97801659182289
Baylor,43.746585026698526
UTSA,43.6088824695172
Rutgers,42.95184979008951
Montana,42.480988864980716
Tarleton State,42.28628819879351
Minnesota,42.231111831834276
North Dakota,41.20827267187238
Michigan State,41.03039921547807
Kennesaw State,40.77256085642812
UConn,40.69438480727859
Hawai'i,40.60200187052255
Utah State,40.56924770923698
Army,40.463440498024156
Maryland,40.448303421984825
Colorado,40.42884850689086
Texas State,40.3145657898481
UCF,40.14485109283018
UCLA,40.14419851171704
Western Michigan,39.44637153076477
Purdue,39.36495622744186
California,39.183135811485364
Louisiana Tech,39.07206022486552
West Virginia,38.82940021071452
Virginia Tech,38.44436338143613
Ohio,38.41250028938517
Fresno State,38.31611406210435
Stanford,37.748807934342935
Harding University,37.68985570476001
Western Kentucky,37.27347520100498
Marshall,37.232961350338066
Miami (OH),36.86340290356659
Troy,36.418597748740595
Southern Miss,36.17493950251026
South Dakota State,36.04095296148758
UC Davis,35.663287041129905
Lehigh,35.647051760386496
Missouri State,35.45117023254741
Florida International,34.74257404917922
North Carolina,34.43522888773505
Temple,34.395949845851064
Air Force,34.32659848102837
Boston College,33.83999363444949
Syracuse,33.707513702820265
Central Michigan,33.65753344963581
Jacksonville State,33.455445598982614
Abilene Christian,33.22919799093294
Stephen F. Austin,33.114225830313224
Louisiana,32.709333983692126
Arkansas State,32.70568553685401
Sacramento State,32.646354872364284
Mercer,32.50827856245108
Liberty,32.20759263733564
Georgia Southern,32.19550249965474
Southern Illinois,32.191065840056915
Coastal Carolina,32.01749586135598
Villanova,31.936304700653118
Illinois State,31.91684176543691
Yale,31.740270946177517
Harvard,31.534460578217875
South Dakota,31.424070003027257
App State,31.418245219031053
Florida Atlantic,31.08619002824803
Austin Peay,31.04057172280518
Tulsa,31.018608586584794
Wyoming,30.884551964444903
Youngstown State,30.86976447561328
Southern Utah,30.868524534089076
Oklahoma State,30.735712709676655
Rice,30.393740621659987
Tennessee Tech,30.230647643199443
South Alabama,30.03071838775673
Delaware,29.984503936120053
Idaho State,29.79901563592466
Oregon State,29.459460924507663
West Georgia,28.897934509315792
SE Louisiana,28.724758118932815
Rhode Island,28.65669358940472
UAB,28.40538336142703
Nevada,28.23814446997541
Colorado State,27.437316782882252
Northern Arizona,27.335917033454713
San José State,27.13686456633419
Bowling Green,26.89503077557344
Cal Poly,26.836612176796
Buffalo,26.808333015171915
New Mexico State,26.232040537045776
Alabama State,26.07737394857071
East Tennessee State,25.710939544393625
Akron,25.568032756319894
Kent State,25.444675192600307
Eastern Michigan,25.12405657264488
Monmouth,25.040699794185826
Lamar,24.967919709292474
Idaho,24.167153589034324
Jackson State,24.007922736077727
Ferris State,23.93260266798054
UTEP,23.793420586099277
Georgia State,23.735392754624982
New Hampshire,23.715169086933454
Middle Tennessee,23.454839724602706
Northern Illinois,23.377329204137347
South Carolina State,23.25849307921813
UT Rio Grande Valley,23.161032726281903
Eastern Washington,22.47756627263188
Western Carolina,22.406773691397284
Dartmouth,22.34655725592108
Ball State,22.106233275542095
Wofford,22.072822876670802
Eastern Kentucky,21.961378140696674
UL Monroe,21.854185585606146
William & Mary,21.137954804670777
Central Washington,21.08759649817027
Incarnate Word,21.05029913056061
Lafayette,20.974662588186234
Henderson State,20.936434059593754
Northwest Missouri St,20.86609556256533
Kutztown University,20.798438719833552
Gardner-Webb,20.735832295834058
North Carolina Central,20.47013016992237
Ouachita Baptist,20.44736851420956
Pennsylvania,20.317309638156566
Prairie View A&M,20.130427913989728
Stony Brook,19.92285537971453
Charlotte,19.918030732217655
Weber State,19.79119329819395
St. Thomas (MN),19.746390434072545
Drake,19.57089121223753
Central Arkansas,19.51543954032803
San Diego,19.143254012061192
Elon,19.090228707490713
Pittsburg St,18.961002393233983
Southwestern Oklahoma State,18.438171531990413
The Citadel,18.420044002181875
Northern Colorado,18.247380372306132
Lindenwood,17.683098762354284
Indianapolis,17.638255883574757
Presbyterian,17.581177355759667
Northern Iowa,17.562077926687948
Sam Houston,17.39301410695631
UT Martin,17.326690032855762
Southern Arkansas,17.234661864048274
Princeton,17.0001984055055
Indiana State,16.893412934888147
Emory & Henry College,16.75913330814429
Brown,16.66951413941858
Maine,16.50593665891658
Central Connecticut,16.290546621416972
Colgate,16.236112324764875
Richmond,15.965074054431433
Wisconsin-River Falls,15.837779196718468
Towson,15.823859988281104
Nicholls,15.63947077662663
Holy Cross,15.25711334986337
Furman,15.238116483929957
Charleston Southern,15.234987823360658
UT Permian Basin,15.037824224831784
North Alabama,14.994379902026207
Wingate,14.868940334610095
Duquesne,14.578961486032815
Arkansas Tech,14.549131465872534
Minnesota State Mankato,14.44929083476434
Bethune-Cookman,14.244149963488818
Chattanooga,14.182918669735656
Grambling,14.026922994965894
Western Colorado,14.013331128587735
Delaware State,13.944055205484213
McNeese,13.765113937146678
Southeast Missouri State,13.53801827241683
Carson-Newman College,13.525261393884477
Long Island University,13.420623898606154
East Central (OK),13.420048763311122
East Texas A&M,13.384368841291232
Dayton,13.343313968592751
Sacred Heart,13.184159899213252
Grand Valley State University,12.744756113112992
Findlay,12.544086644350685
Utah Tech,12.484922755778221
Cornell,12.470336558039975
Wisconsin-Whitewater,12.448471571291307
Albany State GA,12.273415961491793
CSU Pueblo,12.147458789326947
Portland State,11.667238830224424
Mercyhurst,11.641413467590086
Western Illinois,11.633972153355899
Truman State,11.41213131620449
Minnesota Duluth,11.270936548113273
Alcorn State,11.154555713669687
West Florida,11.06599759119395
Campbell,11.015049551929453
Northwood (MI),10.830654286103375
Indiana-Pennsylvania,10.795268689931692
Southeastern Oklahoma State,10.78553318660958
Eastern Illinois,10.580018703449273
Ashland,10.549693887890154
North Central College,10.484076566650884
Columbia,9.581614555918682
Newberry,9.515074161144634
Western Oregon,9.458272870156966
Central Oklahoma,9.409305281721796
Texas Southern,9.298959960768258
Upper Iowa University,8.98417548189134
West Texas A&M,8.770705933635
Merrimack,8.60186106616856
Butler,8.595176542050186
Marist,8.566479219071901
Michigan Tech,8.541820710666592
Northeastern State,8.519998793757269
Georgetown,8.48913103787551
Berry College,8.352092795486602
Trinity (CT),8.334532834619829
Murray State,8.330345067146837
Virginia Union,7.846514509410008
Wisconsin-Platteville,7.836928673856342
Tiffin,7.79200360022254
Catawba,7.651759655877411
Angelo State,6.961657398303739
Massachusetts,6.89662938663707
Johnson C Smith,6.845564749426266
Wisconsin-Lacrosse,6.845551910337317
Bucknell,6.565762523942292
University of Mount Union,6.543981696201662
Howard,6.249290823033309
Wesleyan University (CT),6.234554733380946
Lenoir-Rhyne,5.984025210433977
Wagner,5.981529477141436
Morgan State,5.935866597063933
Bryant,5.884614857286056
Nebraska-Kearney,5.883131950536178
Chadron St,5.779965492564722
Stonehill,5.771913797979757
Wayne State (NE),5.746425015129077
Fayetteville State,5.581063796964688
UAlbany,5.570114749028516
Kentucky State,4.863669986454147
Valley City State,4.840980096457081
Bethel (MN),4.805246553052058
UNC Pembroke,4.79308150883055
Minnesota State Moorhead,4.526697115795557
Texas A&M-Kingsville,4.454369223998457
Delta State,4.393020732554139
Florida A&M,4.388431276679116
Saginaw Valley State,4.221997734970113
Central Missouri,4.196869115397963
Alabama A&M,4.009902037651898
Samford,3.7565737309514375
Colorado School Of Mines,3.734671710064757
Augustana University (SD),3.7249734693177885
Arkansas-Pine Bluff,3.66769475370344
Johns Hopkins University,3.6661129914735184
Webber International,3.659370176265204
Benedict College,3.626110504093643
Tennessee State,3.3994185595973008
Fort Hays State,3.252117441312256
Morehead State,2.8713540230727386
Hardin-Simmons,2.721879725670828
Davenport,2.52598762257725
PennWest California,2.344425734010411
Robert Morris,2.100519182535212
Fordham,1.953753391542321
Northwestern State,1.7777523835122473
Emporia State University,1.5697238975449652
Trinity University TX,1.2849208604535143
Houston Christian,1.0245545095180546
Hillsdale,0.9218745796501353
North Carolina A&T,0.914748796177868
Amherst,0.7344716155702145
Slippery Rock,0.7060606236297726
Edinboro University,0.6684522060465392
Mars Hill,0.49389423784607445
Wheaton,0.4199298542247156
Valdosta State,0.4128017675530069
Colorado Mesa,0.2998862157353761
Saint John's (MN),0.226858959662934
Sioux Falls,0.12906543051533603
East Stroudsburg University,0.0911299171353388
Williams,0.034585709089995476
Anderson (Sc),-0.15841869054034619
Frostburg State,-0.19033596419924592
Walsh,-0.45893087659236675
Cumberland (TN),-0.5196277230777344
University Of Charleston (WV),-0.7402418865764071
Assumption,-0.9108779339672832
VMI,-0.9370887893048803
Middlebury,-1.0653964243954697
Shepherd,-1.2224674610201758
Northern State,-1.3173530957550774
Norfolk State,-1.3694200646383763
Southern Nazarene,-1.3834815751075809
Mississippi Valley State,-1.8849429905412585
Colby College,-2.015463406468701
New Haven,-2.0339964276562457
Southern,-2.059564523842898
Oklahoma Baptist,-2.387120774789242
North Greenville,-2.5966239173041856
Wartburg,-2.713637258105475
Washburn,-2.7795068687539
Clarion,-2.8680269516840724
West Alabama,-3.4807266159514563
Wisconsin-Oshkosh,-3.5630145354909644
Alma,-3.7096567491620718
Hampton,-3.8322523169682583
Mary Hardin-Baylor,-3.8466697176207827
Kentucky Christian,-4.082931782921049
Hope College,-4.209517009154027
Lagrange College,-4.438539389913338
Missouri S&T,-4.472164833908711
Wisconsin-Stout,-4.523947152036698
Dakota State University,-4.630881690241772
Eastern Oregon,-4.952847185234518
Missouri Southern State,-5.123681538931518
Virginia St,-5.151839650985949
Ohio Dominican,-5.19617045831453
Edward Waters,-5.220200935582592
Northern Michigan,-5.487118835125111
Lock Haven University,-5.488637530085702
Northwestern Oklahoma State,-5.565284077100909
Susquehanna,-5.697390088373044
St. Francis (PA),-5.9184037492635895
Christopher Newport,-6.140356043951165
Allen,-6.385418025305533
Depauw,-6.445560026662864
Valparaiso,-6.526124861053077
John Carroll University,-6.543542050223262
Winston-Salem,-6.733730964615577
University of Rio Grande,-6.81765302941745
Salisbury,-7.0401427090972035
Arkansas-Monticello,-7.154336263846648
Missouri Western,-7.203278034507783
Tufts,-7.215324862237868
Savannah St,-7.218513927657788
Eastern New Mexico,-7.27278442960626
Maryville College (TN),-7.483203616851409
Baldwin Wallace,-7.560643503370088
Black Hills State,-7.692473627318039
Franklin Pierce,-7.7167526471679135
Davidson,-7.876925182089044
Winona State,-7.905803869683474
Adrian,-8.069732275741046
Southwest Baptist,-8.645491010800761
Cortland,-8.724321933334195
Bentley,-8.772755005360079
Randolph-Macon,-8.852914914434503
Washington University (St. Louis),-8.987186564690528
Stetson,-9.084807277725623
Central College,-9.098822057425544
Marian College,-9.111999813823239
Coe College,-9.170556166208204
Bloomsburg,-9.307582986980329
Midwestern State,-9.358475780102545
Carnegie Mellon,-9.39822583073098
Quincy,-9.64917050084113
Elizabeth City State,-9.918794965411163
Ohio Northern,-9.968607629663044
Glenville State,-10.053517828762121
West Virginia State,-10.074125961933412
University of Mary,-10.10605073074436
Bemidji State,-10.201223033423506
New Mexico Highlands,-10.26326082007574
Tuskegee,-10.298892009067876
West Chester,-10.349435872022573
William Jewell,-10.663636824718308
Hanover College,-10.84847931809006
Franklin & Marshall,-10.982620368617674
Fort Valley State,-11.227447640065096
McKendree,-11.26466619219723
Minot State,-11.46122799474709
Bates,-11.51539741894694
Seton Hill,-11.685271812038515
Livingstone,-11.73111054413973
Texas Wesleyan,-11.900931774289191
Muhlenberg,-12.1328042532218
Langston University,-12.155350725543967
Wabash College,-12.34510723543178
Hamilton,-12.515405926438572
Washington & Jefferson,-12.51939647032994
Linfield College,-12.622810210900553
Chapman,-12.73451794150376
Utica,-12.965513014985593
Carleton,-13.091615968991153
Fairmont State,-13.110479299827784
BLUEFIELD,-13.169078341638304
Southern Oregon,-13.286953014771875
Wheeling,-13.369185953465337
Rowan,-13.376929809584677
Bethel University Tennessee,-13.583388916234156
UVA Wise,-13.659213207319482
Whitworth,-13.69917122411843
Centre College Kentucky,-13.866086709095667
Bowie State,-14.01144789545928
Central State (OH),-14.1077441687044
Lake Erie,-14.134135218983635
Morehouse College,-14.185439837577153
Pikeville,-14.23341997649089
Thomas More College,-14.556110962932113
South Dakota Mines,-14.795056863401062
Augustana (IL),-14.929338305889363
Grove City College,-15.075358037751041
Clark Atlanta,-15.581300110279116
Millsaps,-15.692178233241187
Hampden-Sydney,-15.72547248668922
Springfield,-15.915455904844967
Greeneville,-15.920668319153162
Shippensburg,-16.28913528621051
Bowdoin,-16.415336333350332
Wisconsin-Eau Claire,-16.41759361618183
