HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
East Carolina,Army,28.0,6.0,22.0,-1.5,Army -1.5,Wrong
Davenport,Lincoln (CA),0.0,0.0,0.0,33.0,Davenport -33.0,Wrong
Virginia,Florida State,46.0,38.0,8.0,-4.5,Florida State -4.5,Wrong
Arizona State,TCU,27.0,24.0,3.0,-8.5,TCU -8.5,Wrong
Oregon State,Houston,24.0,27.0,-3.0,-40.0,Houston -40.0,Correct
SUNY Morrisville,Cortland,3.0,48.0,-45.0,-37.5,Cortland -37.5,Correct
Albright,Widener,35.0,9.0,26.0,-11.0,Widener -11.0,Wrong
Hilbert College,Buffalo State,8.0,15.0,-7.0,-8.0,Buffalo State -8.0,Correct
Lehigh,Pennsylvania,44.0,30.0,14.0,12.0,Lehigh -12.0,Correct
Sacred Heart,Delaware State,35.0,31.0,4.0,-7.0,Delaware State -7.0,Wrong
FDU-Florham,Stevenson,20.0,55.0,-35.0,-38.5,Stevenson -38.5,Correct
Kansas,Cincinnati,34.0,37.0,-3.0,5.0,Kansas -5.0,Wrong
Columbia,Georgetown,19.0,10.0,9.0,-15.5,Georgetown -15.5,Wrong
Syracuse,Duke,3.0,38.0,-35.0,6.5,Syracuse -6.5,Wrong
Central Connecticut,Dartmouth,28.0,35.0,-7.0,-23.5,Dartmouth -23.5,Correct
Wagner,Norfolk State,18.0,13.0,5.0,-8.0,Norfolk State -8.0,Wrong
Dayton,Stetson,48.0,14.0,34.0,21.5,Dayton -21.5,Correct
Northwood (MI),Ashland,13.0,21.0,-8.0,-20.0,Ashland -20.0,Correct
Randolph-Macon,Washington and Lee,24.0,6.0,18.0,6.0,Randolph-Macon -6.0,Correct
Pittsburgh,Louisville,27.0,34.0,-7.0,-19.5,Louisville -19.5,Correct
American International,Bentley,34.0,41.0,-7.0,-5.5,Bentley -5.5,Correct
Shepherd,Kutztown University,10.0,49.0,-39.0,-34.5,Kutztown University -34.5,Correct
Shorter,Chowan,29.0,30.0,-1.0,9.0,Shorter -9.0,Wrong
North Greenville,West Alabama,44.0,52.0,-8.0,-17.0,West Alabama -17.0,Correct
Curry College,Dean College,52.0,12.0,40.0,52.0,Curry College -52.0,Correct
Seton Hill,Indiana-Pennsylvania,13.0,40.0,-27.0,-19.0,Indiana-Pennsylvania -19.0,Correct
Millersville,West Chester,7.0,38.0,-31.0,-32.5,West Chester -32.5,Correct
Misericordia,Reading,41.0,10.0,31.0,21.0,Misericordia -21.0,Correct
Framingham State,Bridgewater State,46.0,40.0,6.0,-4.5,Bridgewater State -4.5,Wrong
Rensselaer,University of Rochester (NY),31.0,3.0,28.0,1.0,Rensselaer -1.0,Correct
Illinois,USC,34.0,32.0,2.0,-8.5,USC -8.5,Wrong
North Texas,South Alabama,36.0,22.0,14.0,33.5,North Texas -33.5,Correct
Norwich,Merchant Marine Academy,0.0,49.0,-49.0,-43.0,Merchant Marine Academy -43.0,Correct
Arkansas,Notre Dame,13.0,56.0,-43.0,-9.0,Notre Dame -9.0,Correct
Christopher Newport,Susquehanna,41.0,27.0,14.0,6.5,Christopher Newport -6.5,Correct
Yale,Cornell,41.0,24.0,17.0,35.0,Yale -35.0,Correct
Minnesota,Rutgers,31.0,28.0,3.0,-6.5,Rutgers -6.5,Wrong
Worcester Polytechnic Institute,Coast Guard,21.0,49.0,-28.0,-21.0,Coast Guard -21.0,Correct
Plymouth State,Mass Maritime,14.0,10.0,4.0,21.0,Plymouth State -21.0,Correct
MIT,Springfield,7.0,31.0,-24.0,-12.0,Springfield -12.0,Correct
Duquesne,New Haven,44.0,18.0,26.0,5.5,Duquesne -5.5,Correct
Edinboro University,Clarion,21.0,20.0,1.0,-10.5,Clarion -10.5,Wrong
Wake Forest,Georgia Tech,29.0,30.0,-1.0,-17.0,Georgia Tech -17.0,Correct
Ohio,Bowling Green,35.0,20.0,15.0,0.0,Pick'em,Wrong
Oberlin,Wooster,0.0,38.0,-38.0,-41.0,Wooster -41.0,Correct
Kansas State,UCF,34.0,20.0,14.0,1.5,Kansas State -1.5,Correct
